0.85,19,1,3.2,-99,0.2,-99,0,0,6,150,12,21,21,0.3,-99,-99,0.03,0.03,0.4,-99,-99,-99,5,-99,-99
0.67,17.88,2.2,1.7,3,0.3,-99,0,-99,75,300,214,50,25,2.9,0.5,0.02,0.15,0.19,0.8,0.3,0,87,500,0,1
0.55,86,17,0,0,2,-99,0,38,23,310,30,210,25,0.8,0.5,-99,0.06,0.08,5,0.46,2,-99,9,-99,-99
1.0,320,7,64,-99,4,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1.0,39,0,10.5,0,0,0,0,0,8,1,4,-99,1,-99,0,0,0,0,0,0,0,0,0,0,0
1.0,334.6,4.9,78,-99,3,1.5,1.5,68,510,89,72,338,9,1.3,0.4,0.03,0.26,0.01,1.7,0.04,0.01,0,0,-99,-99
1.0,457,7.5,50.4,-99,25,-99,0,121,430,190,75,210,46,1.9,1.2,-99,0.09,0.12,2.5,0.06,1,0,270,2.46,2.72
1.0,491,10.26,58.19,6.25,25.8,11.35,41.8,-99,1234,349,61,199,60.3,15.3,1.9,-99,0.1,0.1,-99,0.12,0.24,0,3.37,-99,1.74
0.38,92,19,0,0,2,0.22,1.01,151,271,221,61,200,35,0.7,2.3,-99,0.12,0.11,5.3,0.75,2,-99,-99,0.01,2.9
1.0,436,7,52.8,2.1,23,12.8,6.38,253,178,78,40,-99,19,1,0.6,-99,0.05,0.08,1.5,0.06,0,0,150,1.2,0
1.0,385,3.8,59.56,7.15,16.44,2.17,14.27,-99,497,124,79.3,118,19.8,3.9,2.3,-99,0.04,0.1,-99,0.05,3.23,0,2.97,-99,5.51
1.0,458,5,66,0,21.2,12.3,7.49,74,50,150,121,12,12,0.4,0.3,-99,0.06,0.14,1.1,-99,-99,-99,-99,-99,-99
0.79,91,1,21.5,2.5,0.6,0.23,0.24,0,19,320,22,60,25,0.7,-99,-99,0.1,0.06,1.2,0.22,0,25,667,0,4
0.94,138,21,0,0,6,-99,0,-99,-99,-99,35,-99,28,1,1.1,-99,0.05,0.2,17.8,-99,5,-99,40,20,-99
1.0,219,29,1,1,11.5,1.8,8.5,46,421,281,29,-99,29,2.3,1.8,-99,0.05,0.11,14,0.42,6,-99,61,26,7.3
1.0,170,15,2,2,12,2.91,7.56,82,877,277,23,-99,22,1,3,-99,0.04,0.1,15.9,-99,5,-99,52,22,-99
1.0,404.63,4.36,58.31,-99,18.83,13.54,4.38,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0.79,138,20.6,0.6,0,6.3,2.36,3.11,69,-99,-99,30,-99,29,1,0.5,-99,0.06,0.3,8.3,1.1,1.9,-99,32,7,0.02
1.0,103,13.34,6.7,0,2.82,0.28,0.5,48,141,316,909,-99,25,0.8,0.5,-99,0.06,0.09,5,-99,-99,-99,9,-99,-99
0.7,24,3.5,2,3,0.2,-99,0,-99,14,410,113,78,78,1.3,0.6,0.01,0.1,0.2,1.1,0.17,0,110,316,0,1.3
0.85,65,1.2,16,2.5,0.1,0.01,0.02,0,2,270,38,22.5,20,0.5,0.3,-99,0.06,0.05,0.5,0.11,0,3,25,0,-99
1.0,320,4,70,-99,2.5,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1.0,105,3,16,-99,3.3,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1.0,346,0.5,86,-99,0,-99,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1.0,400,6.28,51.6,-99,20.15,-99,0,-99,-99,-99,69,276,-99,0.6,-99,-99,0.15,0.13,1.2,-99,-99,-99,24,-99,-99
1.0,242,15,1,0,20.3,8.22,10.86,72,1060,207,10,-99,10,2.1,1.3,-99,0.06,0.12,5,0.06,0,0,0,0,0.43
1.0,382,14,0.3,0,36,12.33,20.07,100,72,160,18,120,22,2,1.6,-99,0.2,0.2,6,0.07,1,-99,-99,-99,-99
0.6,153,15,0.8,0,10,2.43,6.29,80,130,360,17,238,31,1,0.5,0.35,0.09,0.3,9,0.7,10,-99,36,16,1.25
1.0,186,26,2,2,10,1.61,8.44,67,422,282,42,272,30,1.3,0.8,-99,0.04,0.11,17,0.44,5,-99,60,25,6.3
1.0,169,16,1,1,13,2.91,8.56,81,876,276,22,-99,22,1,3,-99,0.04,0.1,15.9,-99,4,-99,51,21,-99
1.0,93,21,-99,0,1,0.25,0.63,78,40,330,12,200,23,7,6,-99,0.07,0.1,8.2,0.23,3,-99,20,-99,-99
1.0,540,20,0.8,0,50.6,18.45,24.39,72,160,210,51,59,10,2.2,1.3,-99,0.17,0.18,6.1,-99,-99,0,-99,-99,-99
1.0,580,27,8.5,8.1,49,9.22,37.4,0,3,680,72,432,329,5,4.3,-99,0.2,0.14,15,0.5,0,0,0,0,8.1
1.0,364,9.8,67.1,0.8,8.1,4.47,2.81,0,200,550,40,210,140,4.4,-99,-99,0.04,0.14,2.6,0.04,0,0,1,0,0.13
1.0,2,0.3,0.8,0,0.1,0,0,0,3,66,5,5,6,0.2,-99,-99,0.01,0.01,0.7,0,0,-99,0,0,0
0.74,29.5,1.3,6,1.3,0.2,-99,0,0,3,400,24,30,16,0.8,0.2,-99,0.04,0.04,0.6,0.11,0,10,4,0,0
0.7,27.25,1.3,5.4,1.5,0.2,-99,0,0,2,233,24,29,13,0.4,0.2,-99,0.04,0.04,0.2,0.06,0,14,90,0,0.05
0.7,82,17,0.5,0,1.3,0.34,0.57,222,425,93,78,221,34,1.7,-99,-99,0.07,0.14,3.6,0.06,1.3,0,70,-99,2.4
1.0,117,17,0.5,0,5.3,1.16,4.15,222,430,93,78,-99,-99,1.7,-99,-99,0.07,0.14,3.6,-99,-99,0,70,-99,-99
1.0,197.68,13,13.41,-99,10.55,5.89,4.66,-99,494,79,24,163,55.4,1.9,1.8,-99,-99,-99,-99,0.04,0.54,0,3,-99,0.05
1.0,184.19,13,14.18,-99,8.97,4.6,4.35,-99,343,214,33,158,54.3,2.2,1.7,-99,-99,-99,-99,0.05,0.18,0,9,-99,0.1
1.0,101.27,11,9.14,-99,2.43,1.32,10.99,-99,278,74,20,115,50.3,2.5,1.3,-99,-99,-99,-99,0.14,0.84,0,62,-99,1.94
1.0,125.98,7,12.38,9.97,5.82,2.42,3.39,-99,613,714,117,314,118.4,6.7,0.73,-99,0.04,0.11,-99,0.06,19.73,0,34.81,-99,0.88
1.0,80.9,14.6,0,0,2.5,-99,0,-99,-99,-99,12,-99,8,1.3,1.5,-99,0.01,0.1,4.1,0.01,0.01,0.01,1,0.01,0.08
0.47,96,23,0,0,1.3,0.16,0.81,150,366,269,120,300,42,2,3.6,-99,0.01,0.03,2.4,0.1,1,0.01,0,0.01,2.9
1.0,147,6.7,13.1,0.3,3.3,-99,0,-99,332,119,82,88,11.4,0.3,0.3,0,0.04,0.16,1.2,0.05,0.14,2,73,-99,1.4
1.0,123,6.21,13.44,2.23,5.33,2.4,2.96,-99,539,203,153,109,29,2.2,0.52,-99,0.22,0.32,-99,0.14,7.2,0,13,-99,0.87
0.44,124,19.5,0,0,5.1,0.77,3.68,100,370,270,30,160,48,1.3,3.8,-99,0.1,0.15,6.3,0.35,-99,-99,-99,-99,2.3
0.2,78,16,-99,0,1.4,-99,0,100,-99,-99,140,-99,250,10.6,4.4,-99,0.04,0.14,41,-99,0,0,0,0,0.8
1.0,388,0.8,97,0,0.1,-99,0,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1.0,393,3,84,-99,5,-99,0,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
0.8,21,1.4,3.5,1,0.2,-99,0,0,-99,-99,114,-99,-99,1.5,-99,-99,0.01,0.03,0.2,-99,0,1,1,0,-99
1.0,112,20,-99,-99,3.4,-99,0,70,94,289,12,185,-99,1.8,-99,-99,0.18,0.25,5.8,-99,-99,0,0,-99,-99
1.0,131,20.7,1.1,-99,5.4,2,2.45,59,60,350,8,194,21,2.1,3.8,0.02,0.06,0.22,8.1,0.32,2,0,0,0,0.15
1.0,216,22.5,-99,-99,14,-99,0,-99,-99,199,18,190,33,2.4,-99,-99,0.09,0.15,2.1,-99,-99,-99,0,-99,0.4
0.95,256,17,0,0,21,8.63,10.6,65,61,350,7,-99,17,1.9,3.3,-99,0.05,0.2,7.2,0.25,1,0,0,0,0.2
0.6,115,18,0,0,4.8,0.9,3.15,65,46,306,52,216,30,1.1,-99,0.03,0.07,0.05,1.9,0.15,-99,1,0,-99,0.5
0.82,165,2,36,6.8,2.6,0.72,1,0,6,4,145,256,234,5.1,3,-99,0.12,0.02,0.6,0.28,0,0,0,0,0.99
1.0,65,0,0.15,0,0,0,0,0,80,20,7,20,20,0.5,0.3,-99,0.01,0.05,0.2,0,0,0.5,0,-99,-99
1.0,301,10.6,64,14.8,2.1,-99,0,-99,4,560,50,380,91,6,3.3,-99,0.31,0.1,7.8,0.6,0,0,0,0,0.9
1.0,262,10,52.9,21.9,0.9,-99,0,-99,105,1040,162,243,243,3.3,-99,-99,0.3,0.02,1.1,0.5,-99,42,50,-99,-99
0.85,25,1.4,5.1,1.8,-99,-99,0,0,6,180,25,44,4.2,0.27,0.26,0.04,0.04,0.04,1,0.13,0,6.9,1.4,0,0.45
0.85,38,3.6,4.4,6,0.7,-99,0,0,3,434,129,75,44,1.9,0.1,0,0.14,0.15,0.6,0,0,47,50,0,0
1.0,447,2.7,74,4.8,15.6,4.47,11.13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1.0,278,8.82,60.76,13.18,1.8,0.28,1.16,-99,40,510,64,336,110,4.6,1.3,0.3,0.35,0.17,1.81,0.29,-99,0,60,-99,1.95
1.0,264,8.7,53.5,13.2,1.7,-99,0,-99,40,510,64,373,120,4.6,-99,0.15,0.35,0.17,1.8,0.29,-99,0,60,-99,2
0.44,127,20.1,0,0,5.2,0.79,3.75,100,370,270,29,-99,48,1.3,5.5,-99,0.1,0.15,6.1,0.35,0,0,-99,-99,-99
1.0,256,13,45,28,3.5,0.5,0,0,1,-99,9,-99,-99,340,-99,-99,0.9,1,11.3,1.3,0.6,26,-99,3.1,4.3
0.87,58,0.8,13.5,1.5,0.5,0,0,0,2,255,16,21,11,0.4,0.1,-99,0.05,0.06,0.4,0.05,0,8,3,0,0.1
1.0,45,0.4,4,0,0.01,0,0,0,3,40,8,11,5,0.08,0.02,0,0,0.02,0.6,0.05,0.14,0,-99,0,-99
